Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
09a49cad-4c90-484c-9231-52c3f655cabf,"2021-01-24, 10:49:14 AM",CloudTrail,PutBucketPolicy,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-257587651812-3d715401""}]",,us-west-2,,74.196.233.10
4509e4f4-f12f-448e-b10d-6c449b08fdfe,"2021-01-24, 10:49:14 AM",CloudTrail,PutBucketPublicAccessBlock,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-257587651812-3d715401""}]",,us-west-2,AccessDenied,74.196.233.10
cb7582d5-70db-4eb5-a99b-c6dfec2faa01,"2021-01-24, 10:49:14 AM",CloudTrail,CreateBucket,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-257587651812-3d715401""}]",,us-west-2,,74.196.233.10
4bea6d91-ffc6-4538-afab-de8524469ab7,"2021-01-24, 10:48:12 AM",CloudTrail,PutBucketPublicAccessBlock,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-257587651812-0f86521e""}]",,us-west-2,AccessDenied,74.196.233.10
cc5d7d1e-ac2d-4156-91e4-b8ab884a1f71,"2021-01-24, 10:48:12 AM",CloudTrail,PutBucketPolicy,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-257587651812-0f86521e""}]",,us-west-2,,74.196.233.10
0a6224f1-8c2a-4ea7-bd64-45a42802b4a1,"2021-01-24, 10:48:11 AM",CloudTrail,CreateBucket,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-257587651812-0f86521e""}]",,us-west-2,,74.196.233.10
15f75141-68ac-41a5-b810-ff82230a4d9d,"2021-01-24, 10:44:12 AM",CloudTrail,ChangePassword,,,,us-east-1,,AWS Internal
717de780-dcb5-4705-81d8-2dbdba285e48,"2021-01-24, 10:43:00 AM",Accountant,ChangePassword,,,,us-east-1,,AWS Internal
9ab5db6c-a9a0-44eb-a03e-00d3b9e5d0f9,"2021-01-24, 10:41:29 AM",Accountant,ConsoleLogin,,,,us-east-1,,74.196.233.10
55a53015-e0fa-4de5-863b-62358d9ba046,"2021-01-24, 10:40:44 AM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",,us-east-1,,74.196.233.10
191d615c-efb4-4a27-bdeb-87e756ab8422,"2021-01-24, 10:40:43 AM",root,AttachUserPolicy,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/IAMUserChangePassword""}]",,us-east-1,,74.196.233.10
bc4bfa52-5887-4cca-95c6-f24543988a43,"2021-01-24, 10:40:43 AM",root,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::257587651812:user/Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDATX6LLUTSLPTQJLLWN""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",,us-east-1,,74.196.233.10
ef17ab47-bc21-4b77-af43-6087ba125d9d,"2021-01-24, 10:40:43 AM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,74.196.233.10
0858065c-c136-4961-8a29-1b1dabf938cf,"2021-01-24, 10:40:14 AM",root,DetachUserPolicy,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/IAMUserChangePassword""}]",,us-east-1,,74.196.233.10
7138d9d7-dd31-4900-ae4a-b312447dfecd,"2021-01-24, 10:40:14 AM",root,DeleteUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",,us-east-1,,74.196.233.10
eae4db1a-973e-4793-adaa-58fc14d3e650,"2021-01-24, 10:40:14 AM",root,RemoveUserFromGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,74.196.233.10
fd977923-5dbb-4737-9847-dae2d51757d8,"2021-01-24, 10:40:14 AM",root,DeleteLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",,us-east-1,,74.196.233.10
5da220f9-7d85-49aa-bb07-70084b325259,"2021-01-24, 10:39:55 AM",root,ConsoleLogin,,,,us-east-1,,74.196.233.10
cbc14530-b237-4d06-a2a8-a0d40d59fce2,"2021-01-24, 10:38:30 AM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",,us-east-1,,74.196.233.10
ac66f7da-2c40-4f15-965f-c7c7db4ec2bb,"2021-01-24, 10:38:29 AM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,74.196.233.10
b1b50a89-0f0e-43c9-9152-8d47d8feed05,"2021-01-24, 10:38:29 AM",root,AttachUserPolicy,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/IAMUserChangePassword""}]",,us-east-1,,74.196.233.10
fd80bf95-c9d9-4d3a-98fe-074a8186d302,"2021-01-24, 10:38:29 AM",root,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::257587651812:user/Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDATX6LLUTSA44GYNSLG""}]",,us-east-1,,74.196.233.10
3f1bb148-1f33-490f-834c-be79cf3d5d7f,"2021-01-24, 10:37:36 AM",root,AttachUserPolicy,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/IAMUserChangePassword""}]",,us-east-1,,74.196.233.10
84e82402-f9d2-4b34-9a76-adbc0af190e2,"2021-01-24, 10:37:36 AM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,74.196.233.10
fead7111-c84c-4aa0-97ed-9dbfb4d15fe5,"2021-01-24, 10:37:36 AM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",,us-east-1,,74.196.233.10
aaefe30c-1cdc-4e2d-85aa-5e3110fae596,"2021-01-24, 10:37:35 AM",root,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::257587651812:user/CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDATX6LLUTSFPQIHSD6V""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",,us-east-1,,74.196.233.10
66587415-c2a0-4c02-9990-5d4386ef4a19,"2021-01-24, 10:36:42 AM",root,DeleteUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",,us-east-1,,74.196.233.10
9f7bfd2a-f00b-4912-a966-eb76b0e941f2,"2021-01-24, 10:36:42 AM",root,DetachUserPolicy,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/IAMUserChangePassword""}]",,us-east-1,,74.196.233.10
a95e1afe-4a1f-4d09-b2b2-338e033b90b1,"2021-01-24, 10:36:42 AM",root,RemoveUserFromGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,74.196.233.10
bb0e2c5d-6bc6-4e50-8a9a-a2df25c8e0f5,"2021-01-24, 10:36:42 AM",root,DeleteLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",,us-east-1,,74.196.233.10
1bf7e0c4-6393-4a63-ac39-7a878a1cbf6a,"2021-01-24, 10:36:35 AM",root,RemoveUserFromGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,74.196.233.10
7abf78c6-9a2f-41c6-b6e8-38f62b6dce35,"2021-01-24, 10:36:35 AM",root,DetachUserPolicy,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/IAMUserChangePassword""}]",,us-east-1,,74.196.233.10
b104df8d-b997-4232-b96e-fd60594e3959,"2021-01-24, 10:36:35 AM",root,DeleteLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",,us-east-1,,74.196.233.10
f64bb37f-3099-4abb-a955-651fe6b7b8d1,"2021-01-24, 10:36:35 AM",root,DeleteUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",,us-east-1,,74.196.233.10
a35fd785-fdaf-44ac-9a1b-999112052321,"2021-01-24, 10:36:16 AM",root,GenerateServiceLastAccessedDetails,,,,us-east-1,,74.196.233.10
82d54946-fac0-4211-b16a-ff1402d433ce,"2021-01-24, 10:35:43 AM",root,ConsoleLogin,,,,us-east-1,,74.196.233.10
d2c5d4cd-1ec8-431d-bdca-216be1fe179f,"2021-01-24, 10:34:52 AM",CloudTrail,ConsoleLogin,,,,us-east-1,,74.196.233.10
5f4f2a41-ddff-4266-ad1d-d9d8c6b0d807,"2021-01-24, 10:34:09 AM",CloudTrail,ConsoleLogin,,,,us-east-1,,74.196.233.10
07a41363-f59e-419a-950b-dbb57f6a0c31,"2021-01-24, 10:32:00 AM",root,AttachUserPolicy,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/IAMUserChangePassword""}]",,us-east-1,,74.196.233.10
56dfd81c-764e-4862-baa4-8dab6f095fe6,"2021-01-24, 10:32:00 AM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,74.196.233.10
6655687b-7915-4c95-8e68-72c261060bff,"2021-01-24, 10:32:00 AM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",,us-east-1,,74.196.233.10
3d856f5c-fc97-48b1-a3ee-cd6d4924124a,"2021-01-24, 10:31:59 AM",root,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::257587651812:user/Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDATX6LLUTSBAN5O72T4""}]",,us-east-1,,74.196.233.10
